VAL, 2016-01-01T00:00:00Z,0, 0x00200000
VAL, 2016-01-01T00:00:02Z,10,0x000400C0
VAL, 2016-01-01T00:00:25Z,20,0x000400C0
VAL, 2016-01-01T00:00:28Z,25,0x000400C0
VAL, 2016-01-01T00:00:39Z,30,0x000400C0
VAL, 2016-01-01T00:00:42Z,40,0x00040000
VAL, 2016-01-01T00:00:48Z,40,0x000400C0
VAL, 2016-01-01T00:00:52Z,50,0x000400C0
VAL, 2016-01-01T00:01:12Z,60,0x000400C0
VAL, 2016-01-01T00:01:17Z,70,0x00040040
VAL, 2016-01-01T00:01:23Z,70,0x000400C0
VAL, 2016-01-01T00:01:26Z,80,0x000400C0
VAL, 2016-01-01T00:01:30Z,90,0x000400C0
ANN,2016-01-01T00:00:00Z,First archive entry; Point Created.,User,2016-02-01 00:00:00
ANN,2016-01-01T00:00:42Z,Scan failed; Bad data entered.,User,2016-02-01 00:00:00
ANN,2016-01-01T00:00:48Z,Received good quality value.,User,2016-02-01 00:00:00
ANN,2016-01-01T00:01:17Z,Value is flagged as questionable.,User,2016-02-01 00:00:00
